Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Dominican Republic,DOM,98.1
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ecuador,ECU,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Egypt, Arab Rep.",EGY,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,El Salvador,SLV,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Equatorial Guinea,GNQ,67
Access to electricity (% of population),EG.ELC.ACCS.ZS,Eritrea,ERI,55.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,Estonia,EST,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Eswatini,SWZ,82.3
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ethiopia,ETH,55
Access to electricity (% of population),EG.ELC.ACCS.ZS,Faroe Islands,FRO,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Fiji,FJI,92
Access to electricity (% of population),EG.ELC.ACCS.ZS,Finland,FIN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,France,FRA,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,French Polynesia,PYF,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Gabon,GAB,93.5
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Gambia, The",GMB,65.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,Georgia,GEO,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Germany,DEU,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ghana,GHA,85.1
Access to electricity (% of population),EG.ELC.ACCS.ZS,Gibraltar,GIB,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Greece,GRC,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Greenland,GRL,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Grenada,GRD,94.2
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guam,GUM,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guatemala,GTM,99.1
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guinea,GIN,47.7
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guinea-Bissau,GNB,37.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guyana,GUY,93
Access to electricity (% of population),EG.ELC.ACCS.ZS,Haiti,HTI,49.3
Access to electricity (% of population),EG.ELC.ACCS.ZS,Honduras,HND,94.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Hong Kong SAR, China",HKG,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Hungary,HUN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Iceland,ISL,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,India,IND,99.2
Access to electricity (% of population),EG.ELC.ACCS.ZS,Indonesia,IDN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Iran, Islamic Rep.",IRN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Iraq,IRQ,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ireland,IRL,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Isle of Man,IMN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Israel,ISR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Italy,ITA,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Jamaica,JAM,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Japan,JPN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Jordan,JOR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kazakhstan,KAZ,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kenya,KEN,76
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kiribati,KIR,94.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Korea, Dem. People's Rep.",PRK,54.7
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Korea, Rep.",KOR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kosovo,XKX,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kuwait,KWT,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kyrgyz Republic,KGZ,99.7
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lao PDR,LAO,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Latvia,LVA,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lebanon,LBN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lesotho,LSO,50
Access to electricity (% of population),EG.ELC.ACCS.ZS,Liberia,LBR,31.8
Access to electricity (% of population),EG.ELC.ACCS.ZS,Libya,LBY,70
Access to electricity (% of population),EG.ELC.ACCS.ZS,Liechtenstein,LIE,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lithuania,LTU,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Luxembourg,LUX,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Macao SAR, China",MAC,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Madagascar,MDG,36.1
Access to electricity (% of population),EG.ELC.ACCS.ZS,Malawi,MWI,14
Access to electricity (% of population),EG.ELC.ACCS.ZS,Malaysia,MYS,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Maldives,MDV,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mali,MLI,53
Access to electricity (% of population),EG.ELC.ACCS.ZS,Malta,MLT,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Marshall Islands,MHL,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mauritania,MRT,49
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mauritius,MUS,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mexico,MEX,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Micronesia, Fed. Sts.",FSM,85.3
Access to electricity (% of population),EG.ELC.ACCS.ZS,Moldova,MDA,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Monaco,MCO,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mongolia,MNG,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Montenegro,MNE,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Morocco,MAR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mozambique,MOZ,33.2
Access to electricity (% of population),EG.ELC.ACCS.ZS,Myanmar,MMR,73.7
Access to electricity (% of population),EG.ELC.ACCS.ZS,Namibia,NAM,56.2
Access to electricity (% of population),EG.ELC.ACCS.ZS,Nauru,NRU,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Nepal,NPL,91.3
Access to electricity (% of population),EG.ELC.ACCS.ZS,Netherlands,NLD,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,New Caledonia,NCL,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,New Zealand,NZL,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Nicaragua,NIC,86.5
Access to electricity (% of population),EG.ELC.ACCS.ZS,Niger,NER,19.5
Access to electricity (% of population),EG.ELC.ACCS.ZS,Nigeria,NGA,60.5
Access to electricity (% of population),EG.ELC.ACCS.ZS,North Macedonia,MKD,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Northern Mariana Islands,MNP,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Norway,NOR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Oman,OMN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Pakistan,PAK,95
Access to electricity (% of population),EG.ELC.ACCS.ZS,Palau,PLW,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Panama,PAN,95
Access to electricity (% of population),EG.ELC.ACCS.ZS,Papua New Guinea,PNG,19
Access to electricity (% of population),EG.ELC.ACCS.ZS,Paraguay,PRY,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Peru,PER,96.2
Access to electricity (% of population),EG.ELC.ACCS.ZS,Philippines,PHL,94.8
Access to electricity (% of population),EG.ELC.ACCS.ZS,Poland,POL,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Portugal,PRT,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Puerto Rico,PRI,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Qatar,QAT,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Romania,ROU,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Russian Federation,RUS,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Rwanda,RWA,50.6
Access to electricity (% of population),EG.ELC.ACCS.ZS,Samoa,WSM,98.3
Access to electricity (% of population),EG.ELC.ACCS.ZS,San Marino,SMR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sao Tome and Principe,STP,78
Access to electricity (% of population),EG.ELC.ACCS.ZS,Saudi Arabia,SAU,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Senegal,SEN,67.9
Access to electricity (% of population),EG.ELC.ACCS.ZS,Serbia,SRB,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Seychelles,SYC,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sierra Leone,SLE,29.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,Singapore,SGP,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sint Maarten (Dutch part),SXM,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Slovak Republic,SVK,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Slovenia,SVN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Solomon Islands,SLB,76
Access to electricity (% of population),EG.ELC.ACCS.ZS,Somalia,SOM,48.9
Access to electricity (% of population),EG.ELC.ACCS.ZS,South Africa,ZAF,86.5
Access to electricity (% of population),EG.ELC.ACCS.ZS,South Sudan,SSD,8.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,Spain,ESP,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sri Lanka,LKA,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,St. Kitts and Nevis,KNA,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,St. Lucia,LCA,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,St. Martin (French part),MAF,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,St. Vincent and the Grenadines,VCT,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sudan,SDN,63.2
Access to electricity (% of population),EG.ELC.ACCS.ZS,Suriname,SUR,99
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sweden,SWE,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Switzerland,CHE,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Syrian Arab Republic,SYR,89
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tajikistan,TJK,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tanzania,TZA,45.8
Access to electricity (% of population),EG.ELC.ACCS.ZS,Thailand,THA,99.9
Access to electricity (% of population),EG.ELC.ACCS.ZS,Timor-Leste,TLS,99.7
Access to electricity (% of population),EG.ELC.ACCS.ZS,Togo,TGO,57.2
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tonga,TON,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Trinidad and Tobago,TTO,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tunisia,TUN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Turkey,TUR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Turkmenistan,TKM,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Turks and Caicos Islands,TCA,99.9
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tuvalu,TUV,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Uganda,UGA,47.1
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ukraine,UKR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,United Arab Emirates,ARE,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,United Kingdom,GBR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,United States of America,USA,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Uruguay,URY,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Uzbekistan,UZB,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Vanuatu,VUT,70
Access to electricity (% of population),EG.ELC.ACCS.ZS,Venezuela (Bolivarian Republic of),VEN,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Viet Nam,VNM,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Virgin Islands (U.S.),VIR,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,West Bank and Gaza,PSE,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Yemen,YEM,76
Access to electricity (% of population),EG.ELC.ACCS.ZS,Zambia,ZMB,47.8
Access to electricity (% of population),EG.ELC.ACCS.ZS,Zimbabwe,ZWE,50.1
Access to electricity (% of population),EG.ELC.ACCS.ZS,Africa Eastern and Southern,AFE,48.7420429375177
Access to electricity (% of population),EG.ELC.ACCS.ZS,Africa Western and Central,AFW,55.5889080239262
Access to electricity (% of population),EG.ELC.ACCS.ZS,Arab World,ARB,90.6545179070033
Access to electricity (% of population),EG.ELC.ACCS.ZS,Caribbean small states,CSS,97.5677686607558
Access to electricity (% of population),EG.ELC.ACCS.ZS,Central Europe and the Baltics,CEB,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Early-demographic dividend,EAR,95.1445282423272
Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,EAS,98.2159982994005
Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific (excluding high income),EAP,98.029656910797
Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,98.5710601814202
Access to electricity (% of population),EG.ELC.ACCS.ZS,Euro area,EMU,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,ECS,99.9977343798245
Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia (excluding high income),ECA,99.9915983455152
Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,99.9954476985528
Access to electricity (% of population),EG.ELC.ACCS.ZS,European Union,EUU,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Fragile and conflict affected situations,FCS,57.9092443338508
Access to electricity (% of population),EG.ELC.ACCS.ZS,Heavily indebted poor countries (HIPC),HPC,48.6142457774215
Access to electricity (% of population),EG.ELC.ACCS.ZS,High income,HIC,99.9797265292838
Access to electricity (% of population),EG.ELC.ACCS.ZS,IBRD only,IBD,98.9687616451153
Access to electricity (% of population),EG.ELC.ACCS.ZS,IDA & IBRD total,IBT,89.9492953913669
Access to electricity (% of population),EG.ELC.ACCS.ZS,IDA blend,IDB,77.3201892139766
Access to electricity (% of population),EG.ELC.ACCS.ZS,IDA only,IDX,60.5063653924991
Access to electricity (% of population),EG.ELC.ACCS.ZS,IDA total,IDA,66.1102001807559
Access to electricity (% of population),EG.ELC.ACCS.ZS,Late-demographic dividend,LTE,99.4771761425239
Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean,LCN,98.5788713134359
Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & Caribbean (excluding high income),LAC,98.4758275506394
Access to electricity (% of population),EG.ELC.ACCS.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,98.5448799242171
Access to electricity (% of population),EG.ELC.ACCS.ZS,Least developed countries: UN classification,LDC,56.7048565352677
Access to electricity (% of population),EG.ELC.ACCS.ZS,Low & middle income,LMY,89.4252588465316
Access to electricity (% of population),EG.ELC.ACCS.ZS,Low income,LIC,45.1134101816937
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lower middle income,LMC,90.5967778011066
Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa,MEA,97.1470983807294
Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa (excluding high income),MNA,96.7125182473811
Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,96.6737042403046
Access to electricity (% of population),EG.ELC.ACCS.ZS,Middle income,MIC,94.8551931473528
Access to electricity (% of population),EG.ELC.ACCS.ZS,North America,NAC,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Not classified,INX,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,OECD members,OED,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Other small states,OSS,94.605657736354
Access to electricity (% of population),EG.ELC.ACCS.ZS,Pacific island small states,PSS,85.6038100577211
Access to electricity (% of population),EG.ELC.ACCS.ZS,Post-demographic dividend,PST,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Pre-demographic dividend,PRE,51.1035426781824
Access to electricity (% of population),EG.ELC.ACCS.ZS,Small states,SST,93.8741763871044
Access to electricity (% of population),EG.ELC.ACCS.ZS,South Asia,SAS,98.2841562590132
Access to electricity (% of population),EG.ELC.ACCS.ZS,South Asia (IDA & IBRD),TSA,98.2841562590132
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa,SSF,51.512559668342
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa (excluding high income),SSA,51.5078304918426
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,51.512559668342
Access to electricity (% of population),EG.ELC.ACCS.ZS,Upper middle income,UMC,99.4658003895695
Access to electricity (% of population),EG.ELC.ACCS.ZS,World,WLD,91.277853325244
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 01/28/2025,,,,
